Symbol,Name,Exchange
000848.XSHE,CHENG DE LOLO,Shenzhen
000852.XSHE,SINOPEC OILFIELD EQUIPMENT CORPORATION,Shenzhen
000858.XSHE,WULIANGYE YIBIN,Shenzhen
000859.XSHE,ANHUI GUOFENG NEW MATERIALS,Shenzhen
000860.XSHE,BEIJING SHUNXIN AGRICULTURE,Shenzhen
000862.XSHE,NING XIA YIN XING ENERGY,Shenzhen
000863.XSHE,SANXIANG IMPRESSION,Shenzhen
000868.XSHE,ANHUI ANKAI AUTOMOBILE,Shenzhen
000869.XSHE,YANTAI CHANGYU PIONEER WINE,Shenzhen
000875.XSHE,SPIC GREEN ENERGY,Shenzhen
000876.XSHE,NEW HOPE LIUHE,Shenzhen
000877.XSHE,TIANSHAN MATERIAL,Shenzhen
000878.XSHE,YUNNAN COPPER,Shenzhen
000880.XSHE,WEICHAI HEAVY MACHINERY,Shenzhen
000881.XSHE,CGN NUCLEAR TECHNOLOGY DEVELOPMENT,Shenzhen
000882.XSHE,BEIJING HUALIAN DEPARTMENT STORE,Shenzhen
000883.XSHE,HUBEI ENERGY GROUP,Shenzhen
000885.XSHE,CEVIA ENVIRO,Shenzhen
000886.XSHE,HAINAN EXPRESSWAY,Shenzhen
000887.XSHE,ANHUI ZHONGDING SEALING PARTS,Shenzhen
000888.XSHE,EMEI SHAN TOURISM,Shenzhen
000892.XSHE,H&R CENTURY UNION,Shenzhen
000893.XSHE,ASIA-POTASH INTERNATIONAL INVESTMENT,Shenzhen
000895.XSHE,HENAN SHUANGHUI INVESTMENT AND DEV,Shenzhen
000898.XSHE,ANGANG STEEL,Shenzhen
000899.XSHE,JIANGXI GANNENG,Shenzhen
000900.XSHE,XIANDAI INVESTMENT,Shenzhen
000901.XSHE,AEROSPACE HI-TECH HOLDING GROUP,Shenzhen
000902.XSHE,YONFER AGRICULTURAL TECHNOLOGY,Shenzhen
000905.XSHE,XIAMEN PORT DEVELOPMENT,Shenzhen
000906.XSHE,ZHESHANG DEVELOPMENT GROUP,Shenzhen
000912.XSHE,SICHUAN LUTIANHUA,Shenzhen
000913.XSHE,ZHEJIANG QIANJIANG MOTORCYCLE,Shenzhen
000915.XSHE,SHANDONG WIT DYNE HEALTH,Shenzhen
000917.XSHE,HUNAN TV AND BROADCAST INTERMEDIARY,Shenzhen
000920.XSHE,VONTRON TECHNOLOGY,Shenzhen
000921.XSHE,HISENSE HOME APPLIANCES GROUP,Shenzhen
000922.XSHE,HARBIN ELEC CORP JIAMUSI ELEC MACHINE,Shenzhen
000923.XSHE,HBIS RESOURCES,Shenzhen
000925.XSHE,UNITTEC,Shenzhen
000927.XSHE,CHINA RAILWAY MATERIALS,Shenzhen
